epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,422.839,1.29329,0.87093,0.0052,0.85627,0.84424,0.90592,0.59478,1.20304,0.75825,0.00539,0.00024265,0.00024265,0.00024265
155,425.468,1.23528,0.86355,0.00507,0.78463,0.8716,0.9055,0.58625,1.20118,0.73866,0.00531,0.0002377,0.0002377,0.0002377
156,428.187,1.2343,0.87902,0.00514,0.78958,0.87535,0.90503,0.60112,1.17543,0.74618,0.00524,0.00023275,0.00023275,0.00023275
157,430.988,1.25059,0.85135,0.00485,0.84821,0.88153,0.91371,0.61164,1.17422,0.74401,0.00527,0.0002278,0.0002278,0.0002278
158,433.719,1.24258,0.82574,0.00514,0.81132,0.88699,0.90656,0.58935,1.20879,0.71573,0.00541,0.00022285,0.00022285,0.00022285
159,436.34,1.23977,0.83227,0.00496,0.8794,0.78657,0.90349,0.59684,1.18551,0.70814,0.00535,0.0002179,0.0002179,0.0002179
160,438.974,1.24432,0.83996,0.00502,0.85357,0.86114,0.90398,0.58348,1.2156,0.72948,0.00537,0.00021295,0.00021295,0.00021295
161,441.619,1.20551,0.77866,0.00456,0.87287,0.82497,0.90635,0.59109,1.22101,0.71677,0.00537,0.000208,0.000208,0.000208
162,444.246,1.20954,0.83337,0.00469,0.87555,0.82378,0.90279,0.60964,1.1404,0.73484,0.00508,0.00020305,0.00020305,0.00020305
163,446.91,1.24949,0.84666,0.00507,0.84937,0.81009,0.90463,0.60861,1.18673,0.74193,0.00536,0.0001981,0.0001981,0.0001981
164,449.603,1.22176,0.7832,0.00491,0.86332,0.80676,0.90749,0.60197,1.18235,0.7227,0.00521,0.00019315,0.00019315,0.00019315
165,452.281,1.24607,0.84546,0.00497,0.86839,0.82338,0.90804,0.58888,1.20408,0.74193,0.00528,0.0001882,0.0001882,0.0001882
166,454.97,1.2525,0.81992,0.00494,0.81402,0.88674,0.90809,0.61199,1.15108,0.71734,0.00513,0.00018325,0.00018325,0.00018325
167,457.696,1.2723,0.80921,0.00488,0.84178,0.85498,0.90565,0.60656,1.16312,0.72564,0.00522,0.0001783,0.0001783,0.0001783
168,460.377,1.23691,0.82395,0.00501,0.86125,0.84465,0.91581,0.61278,1.18087,0.73652,0.00528,0.00017335,0.00017335,0.00017335
169,463.077,1.23918,0.82291,0.005,0.85783,0.86405,0.91333,0.59728,1.20428,0.73701,0.00538,0.0001684,0.0001684,0.0001684
170,465.728,1.25583,0.85061,0.00499,0.81522,0.86278,0.91058,0.60757,1.16936,0.73418,0.00527,0.00016345,0.00016345,0.00016345
171,468.356,1.22963,0.86766,0.00495,0.81519,0.85572,0.89938,0.60451,1.16639,0.72571,0.00524,0.0001585,0.0001585,0.0001585
172,471.02,1.24297,0.8067,0.00477,0.78348,0.88235,0.90066,0.6026,1.15619,0.73087,0.00519,0.00015355,0.00015355,0.00015355
173,473.613,1.21792,0.78298,0.00509,0.86065,0.82393,0.89539,0.59661,1.16768,0.71909,0.00517,0.0001486,0.0001486,0.0001486
174,476.314,1.2568,0.80096,0.0051,0.84808,0.83041,0.89469,0.59772,1.15768,0.71651,0.00515,0.00014365,0.00014365,0.00014365
175,479.032,1.21494,0.81296,0.00486,0.81173,0.84882,0.89112,0.59182,1.16363,0.71589,0.00522,0.0001387,0.0001387,0.0001387
176,481.766,1.23654,0.82535,0.00495,0.78685,0.90221,0.89163,0.59504,1.17619,0.72247,0.00532,0.00013375,0.00013375,0.00013375
177,484.455,1.2033,0.86927,0.00499,0.7989,0.89653,0.89355,0.60005,1.16608,0.72206,0.00527,0.0001288,0.0001288,0.0001288
178,487.175,1.26353,0.82115,0.00478,0.80212,0.88801,0.90062,0.60263,1.17953,0.7162,0.00529,0.00012385,0.00012385,0.00012385
179,489.872,1.18691,0.80302,0.00458,0.80358,0.89611,0.90147,0.59883,1.16149,0.71445,0.00522,0.0001189,0.0001189,0.0001189
180,492.537,1.22102,0.87262,0.00517,0.81215,0.89763,0.90435,0.60714,1.15671,0.70163,0.00521,0.00011395,0.00011395,0.00011395
181,495.17,1.23158,0.8689,0.00498,0.79662,0.8839,0.90306,0.60439,1.14866,0.70187,0.00519,0.000109,0.000109,0.000109
182,497.781,1.24674,0.79902,0.00482,0.82411,0.87045,0.906,0.60997,1.16133,0.70283,0.00521,0.00010405,0.00010405,0.00010405
183,500.402,1.26232,0.81369,0.00497,0.83235,0.84076,0.90737,0.60927,1.18643,0.69941,0.00528,9.91e-05,9.91e-05,9.91e-05
184,503.118,1.19634,0.85487,0.00453,0.81951,0.86792,0.90705,0.60487,1.1717,0.69298,0.00524,9.415e-05,9.415e-05,9.415e-05
